what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350885455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352336811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352342665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352342687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352495030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352514338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352517545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352957014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352961309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352962703
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362352964208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352966345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352967969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362352974041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353264075
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362353264875
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362353265468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353267495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353279235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353294242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353294264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353300224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353363147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353370410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353371957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353374476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353429328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362353429714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428654979
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362428658783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428664656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428671380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428673370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428674169
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362428674907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428692239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428693067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428693223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428831146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428831723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428832047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428832316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428832589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428833084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428833398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428833581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428837064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362428837597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429761142
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362429764267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362429768374
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362429771867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362429778338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362429790587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362429793346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362429793912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429794332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429794930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429796822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429798010
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362429798730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429805520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429806376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429806949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429809238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362429815101
